target_index,source_binding_target_id,source_side,bound_raw_key,bound_candidate_scoring_id,admission_readiness,admission_status,field_pin_status,source_row_count,scalar_leaf_count,candidate_object_id,provenance_chain_complete,semantics_choice_available
1,cb7da74ca6b58e59719a34fd80e0fd793eb55234bf48d6f431229a070e230732,RAW,6000002::S02::A001,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,1,18,,NO,NO
2,1763c8c2cdea8b5fe9ab3d0c04bc4bba133898d1e2a0a55796756aecbab06fee,RAW,6000002::S05::A004,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,1,18,,NO,NO
3,1a25a2e57a139d0801f3618e93bba04591b1963f85f7136eb63af352e620ef4e,RAW,6000002::S05::A005,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,1,18,,NO,NO
4,c53d6dee1377cda3bf2c56bde800ee9a82592156a567516b134e4209c3f4a10d,RAW,6000002::S05::A008,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,1,18,,NO,NO
5,8e9618ef674e9e8a83910bbf63ba464504ed29b4c560993aa10674dbfc56627f,RAW,6000002::S06::A001,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,1,18,,NO,NO
6,4c9412951c4c6dfc83c72fd1c3ce53480d4230e707ced3327f38f35f3cca8b34,RAW,6000002::S06::A002,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,1,18,,NO,NO
7,7e582817ff9bec8e4907d2e07c868c276a7343e9238638e1fb426b69959c39f8,RAW,6000002::S07::A003,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,2,45,,NO,NO
8,b2c2e947a807a7f673e38a5ff083b1bb6dc7ac22d2c9b1950e727b4caa9e80f1,RAW,6000002::S08::A004,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,2,48,,NO,NO
9,3fa9b755ee9efb6284201219a9a035aeca9aa9b76bf8eafcb7cc57fdcb9b2f7f,RAW,6000002::S08::A005,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,2,48,,NO,NO
10,1b3c310c2ff5988c5480906575ab85e8f58b2c0aefffc008ea9768572766c8c0,RAW,6000002::S09::A003,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,2,46,,NO,NO
11,c9e5fcccb774c21536563dfa46e05d771b0ccfbab8f6f6b6900f52376aaff58a,RAW,6000003::S03::A003,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,2,49,,NO,NO
12,cbde6ab9731bb542b4d42e6f52d3ddb1a443e9d2043cafec23aefe9298b58b25,RAW,6000003::S03::A007,,ADMISSION_BLOCKED_MISSING_PROVENANCE,ADMISSION_NOT_READY_MISSING_PROVENANCE,FIELD_PIN_NOT_EXPOSED_GATED_ON_ADMISSION,2,48,,NO,NO
